ID Actividad,Fecha,Nombre de la Actividad,Tipo,Distancia (km),Duración (min),Velocidad Promedio (km/h),Ritmo (min/km),Velocidad Máxima (km/h),Desnivel Positivo (m),Desnivel Negativo (m)
16912084274,"31 dic 2025, 1:17:41",Carrera nocturna,Carrera,2.82,25.9,6.54,9:10,15.91,0.0,0.0
16912567530,"2 ene 2026, 13:07:01",Carrera de mañana,Carrera,3.58,24.5,8.79,6:49,14.62,14.2,14.6
16934832153,"4 ene 2026, 13:20:58",Carrera de mañana,Carrera,3.62,21.9,9.93,6:03,14.47,0.0,0.0
19474966485,"26 jul 2026, 15:15:05",Carrera a la hora del almuerzo,Carrera,5.02,32.2,9.37,6:24,17.06,0.0,0.0
19507903508,"28 jul 2026, 23:46:40",Carrera de noche,Carrera,3.05,18.5,9.89,6:04,13.79,0.0,0.0
19536006268,"30 jul 2026, 23:29:17",Variantes de 300 m,Carrera,4.32,29.3,8.86,6:47,16.34,0.0,0.0
19561587455,"1 ago 2026, 21:31:03","Carrera fácil: 3,5 km",Carrera,3.51,21.8,9.69,6:12,12.74,0.0,0.0
19589039177,"3 ago 2026, 21:37:37",5km Carrera larga,Carrera,5.01,30.9,9.74,6:10,11.52,0.0,0.0
19623606926,"5 ago 2026, 21:10:23","Carrera fácil: 4,5 km",Carrera,4.52,27.8,9.75,6:09,14.26,2.6,2.6
19646516806,"7 ago 2026, 22:21:22",Carrera fácil: 4 km,Carrera,4.01,24.3,9.90,6:04,12.74,2.6,2.4
19656650927,"8 ago 2026, 15:09:27",Carrera progresiva,Carrera,5.13,32.6,9.46,6:21,12.17,0.0,0.0
19673417862,"9 ago 2026, 19:31:16","6,5km Carrera larga",Carrera,3.26,19.4,10.09,5:57,12.60,0.0,0.0
19744150147,"14 ago 2026, 21:13:05","6,5km Carrera larga",Carrera,6.51,41.4,9.44,6:21,12.10,0.0,0.0
19771833541,"16 ago 2026, 19:21:52","7,5km Carrera larga progresiva",Carrera,7.51,47.6,9.47,6:20,12.46,0.0,0.0
